anime_id;img;title;title_english;type;episodes;status;rating;rank;genre;A
e32a8d61-78fb-40a2-926a-cd8e1193c04f;12365;Bakuman. 3rd Season;Bakuman.;TV;25.0;Finished Airing;PG-13 - Teens 13 or older;50.0;Comedy, Drama, Romance, Shounen;Oct 6 2012 
ed33874c-eb4b-453b-908f-8632d4e1b403;21;One Piece;One Piece;TV;0.0;Currently Airing;PG-13 - Teens 13 or older;91.0;Action, Adventure, Comedy, Super Power, Drama, Fantasy, Shounen;Oct 20 1999 
5b2cfa99-05e5-4d70-a404-1929da500589;36838;Gintama.: Shirogane no Tamashii-hen;;TV;12.0;Finished Airing;PG-13 - Teens 13 or older;25.0;Action, Sci-Fi, Comedy, Historical, Parody, Samurai, Shounen;Jan 8 2018 
5fc1ee93-d678-4ce7-b687-d60dc9c02328;33095;Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen;Descending Stories: Showa Genroku Rakugo Shinju;TV;12.0;Finished Airing;PG-13 - Teens 13 or older;24.0;Drama, Historical, Josei;Jan 7 2017 
9ccece76-cb77-496b-bebb-f9d0584022d8;11061;Hunter x Hunter (2011);Hunter x Hunter;TV;148.0;Finished Airing;PG-13 - Teens 13 or older;8.0;Action, Adventure, Super Power, Shounen;Oct 2 2011 
18c55521-f174-45d9-884e-e653e13a9abf;32983;Natsume Yuujinchou Go;"Natsume&#039;s Book of Friends Season 5";TV;11.0;Finished Airing;PG-13 - Teens 13 or older;63.0;Slice of Life, Supernatural, Drama, Fantasy, Shoujo;Oct 5 2016 
82965ed2-41c7-4ad3-934e-8a477e66d5df;33255;Saiki Kusuo no Ψ-nan (TV);The Disastrous Life of Saiki K.;TV;120.0;Finished Airing;PG-13 - Teens 13 or older;79.0;Slice of Life, Comedy, Supernatural, School, Shounen;Jul 4 2016 
0b34ac72-f57d-416b-a0b3-4ee06568c7a7;34612;Saiki Kusuo no Ψ-nan (TV) 2;The Disastrous Life of Saiki K. 2;TV;24.0;Currently Airing;PG-13 - Teens 13 or older;52.0;Slice of Life, Comedy, Supernatural, School, Shounen;Jan 17 2018 
f0f0f5e2-84a0-40fb-b2a9-c1185176862f;801;Ghost in the Shell: Stand Alone Complex 2nd GIG;Ghost in the Shell: Stand Alone Complex 2nd GIG;TV;26.0;Finished Airing;R - 17+ (violence & profanity);82.0;Action, Military, Sci-Fi, Mystery, Police, Mecha, Seinen;Jan 1 2004 
a1a3b1ab-c912-4239-b0a6-24ba7ace1d3b;28891;Haikyuu!! Second Season;Haikyu!! 2nd Season;TV;25.0;Finished Airing;PG-13 - Teens 13 or older;22.0;Comedy, Sports, Drama, School, Shounen;Oct 4 2015 
91f13434-2918-4ae3-9bfc-3485c9d45af0;32281;Kimi no Na wa.;Your Name.;Movie;1.0;Finished Airing;PG-13 - Teens 13 or older;2.0;Supernatural, Drama, Romance, School;Aug 26 2016
822b7bb5-ed7f-40e8-9fec-7c425fe558c1;7311;Suzumiya Haruhi no Shoushitsu;The Disappearance of Haruhi Suzumiya;Movie;1.0;Finished Airing;PG-13 - Teens 13 or older;45.0;Comedy, Mystery, Romance, School, Sci-Fi, Supernatural;Feb 6 2010
6f650fa4-9459-44cc-8413-45ef32018bbc;21899;Gintama: Yorinuki Gintama-san on Theater 2D;;Movie;2.0;Finished Airing;PG-13 - Teens 13 or older;93.0;Action, Sci-Fi, Comedy, Historical, Parody, Samurai, Shounen;Aug 26 2012
85815419-4590-4be3-b2e1-1f64197ef7bd;28735;Shouwa Genroku Rakugo Shinjuu;Showa Genroku Rakugo Shinju;TV;13.0;Finished Airing;PG-13 - Teens 13 or older;66.0;Drama, Historical, Josei;Jan 9 2016 
1757b8df-e469-490d-8107-49e702268b54;28977;Gintama°;Gintama Season 4;TV;51.0;Finished Airing;R - 17+ (violence & profanity);3.0;Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen;Apr 8 2015 
93ae51f4-add3-4798-b65a-69ca2dc3ec10;35180;3-gatsu no Lion 2nd Season;March Comes In Like A Lion 2nd Season;TV;22.0;Finished Airing;PG-13 - Teens 13 or older;9.0;Drama, Game, Seinen, Slice of Life;Oct 14 2017 
a0f344bd-0787-4f5e-9f67-07d2b867f8de;35839;Sora yori mo Tooi Basho;A Place Further Than The Universe;TV;13.0;Finished Airing;PG-13 - Teens 13 or older;60.0;Slice of Life, Adventure;Jan 2 2018 
1537f958-b541-40c0-a744-db963785103a;7785;Yojouhan Shinwa Taikei;The Tatami Galaxy;TV;11.0;Finished Airing;R - 17+ (violence & profanity);61.0;Mystery, Comedy, Psychological, Romance;Apr 23 2010 
e7b53227-1842-485c-b8fe-ea3183300276;164;Mononoke Hime;Princess Mononoke;Movie;1.0;Finished Airing;PG-13 - Teens 13 or older;29.0;Action, Adventure, Fantasy;Jul 12 1997
ca9c3651-48dc-4565-9c20-68247cd3bc04;431;Howl no Ugoku Shiro;"Howl&#039;s Moving Castle";Movie;1.0;Finished Airing;G - All Ages;43.0;Adventure, Drama, Fantasy, Romance;Nov 20 2004
80e51b41-d725-4098-89aa-fe5b90f676e1;26055;JoJo no Kimyou na Bouken: Stardust Crusaders 2nd Season;"JoJo&#039;s Bizarre Adventure: Stardust Crusaders - Battle in Egypt";TV;24.0;Finished Airing;R - 17+ (violence & profanity);78.0;Action, Adventure, Drama, Shounen, Supernatural;Jan 10 2015 
5dfd2457-e0d3-4911-8427-9969e090ffdd;5114;Fullmetal Alchemist: Brotherhood;Fullmetal Alchemist: Brotherhood;TV;64.0;Finished Airing;R - 17+ (violence & profanity);1.0;Action, Military, Adventure, Comedy, Drama, Magic, Fantasy, Shounen;Apr 5 2009 
5bd1ffa1-0c43-4f2b-a54a-c8f4f489e1d2;4181;Clannad: After Story;Clannad ~After Story~;TV;24.0;Finished Airing;PG-13 - Teens 13 or older;14.0;Slice of Life, Comedy, Supernatural, Drama, Romance;Oct 3 2008 
20307fb6-d561-49b2-a6c9-73fd71ff6694;31933;JoJo no Kimyou na Bouken: Diamond wa Kudakenai;"JoJo&#039;s Bizarre Adventure: Diamond is Unbreakable";TV;39.0;Finished Airing;R - 17+ (violence & profanity);64.0;Action, Adventure, Comedy, Supernatural, Drama, Shounen;Apr 2 2016 
bf76e7b1-b1af-4748-b260-9e9a6ee7dde0;12355;Ookami Kodomo no Ame to Yuki;Wolf Children;Movie;1.0;Finished Airing;PG - Children;34.0;Slice of Life, Fantasy;Jul 21 2012
dee00805-0158-49f8-936c-c43fb2f1dcec;5028;Major S5;;TV;25.0;Finished Airing;PG-13 - Teens 13 or older;90.0;Comedy, Drama, Romance, Sports;Jan 10 2009 
